pmid,year,title,authors,journal,doi,publication_types,language,abstract,pubmed_url
40420285,2025,Spontaneous diuresis in combination with furosemide stress test (SD-FST) as predictor for successful liberation from kidney replacement therapy: a prospective observational study.,Weidhase L; Wille S; Foede H; Gilch F; Mende M; Scharf-Janßen C; Petros S; de Fallois J,"Critical care (London, England)",10.1186/s13054-025-05452-1,Journal Article; Observational Study,eng,"The optimal time for initiating kidney replacement therapy (KRT) in acute kidney injury (AKI) has been extensively studied in recent years. In contrast, there are currently insufficient data on the best time to discontinue KRT. One diagnostic option to unmask tubular reserve and indirectly estimate the glomerular filtration rate is the furosemide stress test (FST). We conducted a prospective, observational single-center trial. A FST was carried out in patients who developed spontaneous diuresis (SD) during ongoing KRT with a urine output of at least 400 ml in 24 h without any diuretic therapy. A positive FST was defined with urine output > 200 ml within 2 h following intravenous furosemide application. Follow-up was performed for 7 days and the need to restart KRT was assessed daily. After 100 patients were enrolled in the trial, 98 patients were eligible for further evaluation. 76 patients were FST-positive, while 22 patients were FST-negative. Resumption of KRT within the 7-day follow-up was required in only 14.5% of the FST-positive, but 72.7% of the FST-negative patients (p < 0.001). The urine output after FST was also significantly associated with successful release from KRT (AUC 0.87; p < 0.001). In critically ill patients with recovery of SD > 400ml/d during ongoing KRT, the FST helps to identify patients who can be successfully liberated from KRT. By detecting the tubular reserve using FST, the possibility of short-term kidney recovery after AKI can be estimated. German Clinical Trials Registry (DRKS00030560); date of registration 18/11/2022. https://drks.de/search/de/trial/DRKS00030560 .",https://pubmed.ncbi.nlm.nih.gov/40420285/
40420108,2025,ORAKLE: Optimal Risk prediction for mAke30 in patients with sepsis associated AKI using deep LEarning.,Oh W; Veshtaj M; Sawant A; Agrawal P; Gomez H; Suarez-Farinas M; Oropello J; Kohli-Seth R; Kashani K; Kellum JA; Nadkarni G; Sakhuja A,"Critical care (London, England)",10.1186/s13054-025-05457-w,Journal Article,eng,"Major Adverse Kidney Events within 30 days (MAKE30) is an important patient-centered outcome for assessing the impact of acute kidney injury (AKI). Existing prediction models for MAKE30 are static and overlook dynamic changes in clinical status. We introduce ORAKLE, a novel deep-learning model that utilizes evolving time-series data to predict MAKE30, enabling personalized, patient-centered approaches to AKI management and outcome improvement. We conducted a retrospective study using three publicly available critical care databases: MIMIC-IV as the development cohort, and SiCdb and eICU-CRD as external validation cohorts. Patients with sepsis-3 criteria who developed AKI within 48 h of intensive care unit admission were identified. Our primary outcome was MAKE30, defined as a composite of death, new dialysis or persistent kidney dysfunction within 30 days of ICU admission. We developed ORAKLE using Dynamic DeepHit framework for time-series survival analysis and its performance against Cox and XGBoost models. We further assessed model calibration using Brier score. We analyzed 16,671 patients from MIMIC-IV, 2665 from SICdb, and 11,447 from eICU-CRD. ORAKLE outperformed the XGBoost and Cox models in predicting MAKE30, achieving AUROCs of 0.84 (95% CI: 0.83-0.86) vs. 0.81 (95% CI: 0.79-0.83) vs. 0.80 (95% CI: 0.78-0.82) in MIMIC-IV internal test set, 0.83 (95% CI: 0.81-0.85) vs. 0.80 (95% CI: 0.78-0.83) vs. 0.79 (95% CI: 0.77-0.81) in SICdb, and 0.85 (95% CI: 0.84-0.85) vs. 0.83 (95% CI: 0.83-0.84) vs. 0.81 (95% CI: 0.80-0.82) in eICU-CRD. The AUPRC values for ORAKLE were also significantly better than that of XGBoost and Cox models. The Brier score for ORAKLE was 0.21 across the internal test set, SICdb, and eICU-CRD, suggesting good calibration. ORAKLE is a robust deep-learning model for predicting MAKE30 in critically ill patients with AKI that utilizes evolving time series data. By incorporating dynamically changing time series features, the model captures the evolving nature of kidney injury, treatment effects, and patient trajectories more accurately. This innovation facilitates tailored risk assessments and identifies varying treatment responses, laying the groundwork for more personalized and effective management approaches.",https://pubmed.ncbi.nlm.nih.gov/40420108/
40390092,2025,"Plasma H3.1 nucleosomes as biomarkers of infection, inflammation and organ failure.",Filippini DFL; Jiang M; Kramer L; van der Poll T; Cremer O; Hla TTW; Retter A; Bos LDJ; MARS consortium,"Critical care (London, England)",10.1186/s13054-025-05415-6,Journal Article; Observational Study,eng,"Neutrophil extracellular traps (NETs) are a vital part of the innate immune response, while excessive NET formation can cause tissue damage. H3.1 nucleosomes, a component of NETs, have emerged as a potential biomarker. This study aimed to evaluate H3.1 nucleosomes in critical illness, assessing their relationship with sepsis, organ failure, inflammatory subphenotypes and outcomes. The MARS cohort was used, comprising of consecutive Intensive Care Unit patients, with plasma samples collected on days 0, 2 and 4. H3.1 nucleosome concentrations were measured using the Nu.Q® NETs Immunoassay. H3.1 nucleosome concentrations were compared across sepsis presence and organ failure, both at baseline and longitudinally. The relationship between H3.1 nucleosome concentrations and clinical outcomes was investigated. 1713 critically ill patients were included, with a total of 3671 plasma samples. Baseline H3.1 nucleosome concentrations differed between sepsis confirmed by clinical adjudication (740 ng/mL), sepsis unconfirmed by clinical adjudication (416 ng/mL) and non-sepsis (463 ng/mL, P < 0.001). H3.1 concentrations were associated with SOFA score (r = 0.40) and were higher in patients with disseminated intravascular coagulation, acute kidney injury and hyperinflammatory sepsis. H3.1 concentration was highly predictive for the need of renal replacement therapy (hazard ratio 2.00 per log10 increase), correcting for mortality. Sepsis and organ failure were closely associated with plasma H3.1 nucleosome concentrations. While individual diagnostic performance for sepsis and organ failure remained low, H3.1 levels predicted the need for renal replacement therapy and disseminated intravascular coagulation, revealing unique insights into the innate immune response. ClinicalTrials.gov identifier NCT01905033; IRB number 10-056C, registered June 16, 2010.",https://pubmed.ncbi.nlm.nih.gov/40390092/
40390062,2025,Identifying a unique signature of sepsis in patients with pre-existing cirrhosis.,Dasgupta A; Jones TK; Giannini H; Bennett R; Emre G; Ittner CAG; Turner A; Esperanza M; Housel K; Miano T; Erlich M; Anderson BJ; Shashaty MGS; Meyer NJ; Reilly JP,"Critical care (London, England)",10.1186/s13054-025-05423-6,Journal Article,eng,"The pre-existing diagnosis of cirrhosis is a complicating factor in the progression and prognosis of sepsis; however, the unique epidemiology, sepsis characteristics, and underlying mechanisms of immune dysregulation in sepsis among patients with cirrhosis remain incompletely understood. Our primary objective was to identify clinical outcomes and biological characteristics that differ between patients with and without cirrhosis among critically ill patients with sepsis. We analyzed data from a prospective cohort of critically ill patients presenting to single center with sepsis. Subjects were followed for 6 days for the development of acute respiratory distress syndrome (ARDS) and acute kidney injury (AKI), and 30 days for mortality. Inflammatory, endothelial, and coagulopathic proteins were measured in plasma collected at ICU admission in a subset of patients. We determined associations of cirrhosis with outcomes using multivariable logistic regression adjusting for pre-specified confounders. We tested differences in plasma protein levels by cirrhosis diagnosis using the Wilcoxon Rank-sum test. We enrolled 2962 subjects, 371 (13%) of whom had a pre-existing diagnosis of cirrhosis. Patients with cirrhosis had higher severity of illness scores, were more likely to have an abdominal source of sepsis, and had more significant clinically measured coagulation abnormalities relative to patients without cirrhosis. In multivariate analysis, cirrhosis was associated with higher AKI risk (adjusted OR 1.65; 95% CI 1.21 to 2.26; P = 0.002), and 30-day mortality (adjusted OR 1.38; 95% CI 1.05 to 1.82; P = 0.022). There was no significant difference in risk for ARDS (adjusted OR 1.02; 95% CI 0.69 to 1.50; P = 0.92). Cirrhosis was associated with higher plasma levels of angiopoietin-2 (P < 0.001), von Willebrand factor (P < 0.001), and soluble thrombomodulin (P < 0.001), as well as lower levels of interleukin (IL)-10 (P < 0.001), IL-1β (P = 0.008), and IL-1RA (P = 0.036). There were no significant differences in levels of IL-6 (P = 0.30). We identified associations between pre-existing cirrhosis and endothelial injury, AKI, and mortality in sepsis. Patients with pre-existing cirrhosis who develop sepsis may display a unique phenotype of endothelial dysfunction that requires unique targeted approaches.",https://pubmed.ncbi.nlm.nih.gov/40390062/
40349332,2025,Tumour necrosis factor-alpha at the intersection of renal epithelial and immune cell function.,Hubbi S; Hao S; Epps J; Ferreri NR,The Journal of physiology,10.1113/JP286756,"Journal Article; Review; Research Support, N.I.H., Extramural",eng,"This review explores the roles of tumour necrosis factor-alpha (TNF) in kidney physiology and pathology. TNF, produced by renal epithelial cells, regulates glucose, electrolyte, water and urea transport by modulating key transporters such as sodium-glucose co-transporter-2 (SGLT2), sodium-potassium-chloride cotransporter 2 (NKCC2), sodium chloride cotransporter (NCC), epithelial sodium channel (ENaC), aquaporin-2 (AQP2) and urea transporters. Under non-inflammatory conditions, TNF functions as a regulatory 'brake' on water and solute transport, particularly by attenuating NKCC2 and AQP2 activity. Disruption of these actions, coupled with increased salt intake, shifts mice from being salt-resistant to salt-sensitive, thereby altering their blood pressure. In autoimmune diseases, chronic kidney disease (CKD), hypertension with renal inflammation, and sepsis, TNF drives immune responses and disease progression. Although mechanisms underlying tubular epithelial cell (TEC)-immune cell interactions remain unclear, emerging evidence indicates that the spatial organization of immune responses in the kidney is associated with distinct TEC signature phenotypes. Hypertonicity- and NFAT5 (i.e. nuclear factor of activated T cells 5)-driven TNF production in TECs and T lymphocytes may influence immune cell communication by affecting co-stimulatory molecule expression and ENaC activity on macrophages and dendritic cells. Although TNF is generally pathogenic in renal diseases, its inhibition does not always confer protection because its effects on endoplasmic reticulum stress, ion transport, vascular smooth muscle and immune cells are influenced by distinct cellular sources and signalling mechanisms through TNF receptors 1 and 2. Anti-TNF therapies are crucial for treating chronic inflammatory diseases and may also aid in preventing the progression of acute kidney injury to CKD. A more complete understanding of the role of TNF in immunophysiological responses may enable the development of more targeted therapeutic strategies.",https://pubmed.ncbi.nlm.nih.gov/40349332/
40328648,2025,Effects of an extended therapeutic strategy versus standard-of-care therapy on persistent acute kidney injury in high-risk patients after major surgery: study protocol for the randomised controlled single-centre PrevProgAKI trial.,Sadjadi M; Strauß C; von Groote T; Booke H; Schöne LM; Sauermann L; Wempe C; Gerss J; Kellum J; Meersch M; Zarbock A,BMJ open,10.1136/bmjopen-2024-097333,Journal Article; Clinical Trial Protocol,eng,"Persistent acute kidney injury (AKI) is associated with an increased morbidity and mortality. In patients with an already established AKI, the new urinary biomarker C-C motif chemokine ligand 14 (CCL14) can predict a persistent AKI. However, it is still unknown whether the implementation of nephroprotective measures in patients with an already established moderate/severe AKI can positively influence the trajectory of AKI and patients' outcome. The PrevProgAKI trial is a randomised, controlled, single-centre trial designed to evaluate the effectiveness of nephroprotective measures in patients with established moderate/severe AKI. We aim to enrol 480 patients with moderate or severe AKI (Kidney Disease: Imroving Global Outcomes, KDIGO, stage 2 or 3) within 72 hours of major surgery. Eligible patients will be randomised to receive either standard of care (control group) or an extended therapeutic strategy that consists of different supportive measures (intervention group). The randomisation will be stratified by urinary CCL14 results (CCL14<1.3 ng/mL or CCL14≥1.3 ng/mL). Treating physicians will be blinded to the test results. The primary endpoint is a composite of the development of persistent severe (stage 3) AKI, need for renal replacement therapy or death within 72 hours. The key secondary endpoint is the composite of death, initiation of renal replacement therapy within 90 or persistent renal dysfunction at day 90. The PrevProgAKI trial has been approved by the Ethics Committee of the Chamber of Physicians Westfalen-Lippe and the University of Muenster (no. 2021-569 f-S). Results will be disseminated widely and published in peer-reviewed journals, presented at conferences and will guide patient care and further research. NCT05275218 (clinicaltrials.gov), first posted 11 March 2022.",https://pubmed.ncbi.nlm.nih.gov/40328648/
40321973,2025,Effect of Post-Acute Kidney Injury Use of Renin-Angiotensin Inhibitors on Long-term Mortality and Major Adverse Kidney Events: A 5-year Retrospective Observational Cohort Study.,Tan BWL; Tan BWQ; Akalya K; Hong WZ; Da Y; Low S; Ng WY; Chua HR,Kidney medicine,10.1016/j.xkme.2025.100996,Journal Article,eng,"Acute kidney injury (AKI) is common in hospitalized adults and a risk factor for chronic kidney disease and mortality. The effect of angiotensin-converting enzyme inhibitors (ACEi) or angiotensin receptor blockers (ARBs) post-AKI on mortality and long-term kidney function remains unclear. Propensity-weighted retrospective observational cohort study. A total of 3,289 patients with AKI admitted to a tertiary care hospital from November 2015-October 2016, with follow-up until September 2020. ACEi/ARB use within 180 days post-AKI. All-cause mortality, and major adverse kidney events (MAKE) as defined by composite of renal replacement therapy post-AKI, sustained estimated glomerular filtration rate (eGFR) decline >30% from baseline, or eGFR ≤15 mL/min/1.73 m2. We generated propensity weights for ACEi/ARB use post-AKI, using age, sex, comorbid conditions, prior medication, intensive care unit admission, severe sepsis, and index AKI Kidney Disease: Improving Global Outcomes severity. Cox proportional hazard models were used to test associations of post-AKI ACEi/ARB with mortality, MAKE, and joint models for eGFR slopes. A total of 2,309 (70.2%) participants died or experienced MAKE by end of follow-up. 161 (4.9%) and 406 (12.3%) patients initiated or resumed prior ACEi/ARB use within 180 days post-AKI, respectively. Although the overall cohort had no significant mortality association with post-AKI ACEi/ARB use, a significant association with lower mortality was observed in patients with KDIGO 3 AKI (HR, 0.40; 95% CI, 0.21-0.75; P interaction = 0.003). However, post-AKI ACEi/ARB use was associated with increased MAKE in patients without cardiovascular indications for ACEi/ARB use (HR, 1.52; 95% CI, 1.17-1.98; P interaction = 0.03). Although post-AKI use of ACEi/ARB was associated with acute eGFR decline (initial eGFR change -2.3 mL/min/1.73 m2/year; 95% CI, -3.1 to -1.5; P < 0.001), no association with longer-term eGFR decline was observed. Retrospective observational study on heterogeneous AKI cohort without data on ACEi/ARB cumulative exposure. Early ACEi/ARB post-AKI was not associated with better long-term survival or kidney function but was associated with lower mortality in patients with KDIGO 3 AKI.",https://pubmed.ncbi.nlm.nih.gov/40321973/
40283425,2025,The Furosemide Stress Test: A Dynamic Tool for Predicting Acute Kidney Injury Progression in Critical Care Medicine.,La Via L; Cuttone G; Sinatra N; Abrignani MG; Geraci G; Ippati G; Rubulotta FM,Journal of clinical medicine,10.3390/jcm14082595,Journal Article; Review,eng,"Acute kidney injury (AKI) remains a significant challenge in critical care medicine, affecting up to 50% of intensive care unit patients with substantial mortality rates. While traditional approaches to AKI assessment rely on static measurements like serum creatinine and urine output, the furosemide stress test (FST) has emerged as a dynamic functional tool for evaluating renal tubular function and predicting AKI progression. This comprehensive review examines the historical development, physiological basis, technical aspects, and clinical applications of FST in various patient populations. Originally developed and validated in 2013, FST has demonstrated superior predictive capabilities for AKI progression and the need for renal replacement therapy compared to conventional biomarkers. The test's mechanism relies on assessing the kidney's response to a standardized furosemide challenge, providing insights into both the structural integrity and functional reserve of the renal tubular system. Standardized protocols have been established for different clinical scenarios, though implementation challenges remain, including timing considerations, patient selection, and resource requirements. FST has shown utility in critical care, post-cardiac surgery, sepsis-associated AKI, and heart failure settings. Recent developments include integration with artificial intelligence, personalized medicine approaches, and combination with novel biomarkers. While limitations exist, including contraindications and technical challenges, ongoing research continues to refine protocols and expand applications. This review highlights FST's role as a valuable prognostic tool in modern AKI management and discusses future directions, including automated monitoring systems, protocol standardization efforts, and potential applications in different patient populations.",https://pubmed.ncbi.nlm.nih.gov/40283425/
40193024,2025,Diagnostic Accuracy of Furosemide Stress Test and Cystatin-C for Predicting Acute Kidney Injury Progression in Children: A Prospective Cohort Study - Authors' Reply.,Dyvik S; Khera D,Indian journal of pediatrics,10.1007/s12098-025-05530-w,Letter,eng,,https://pubmed.ncbi.nlm.nih.gov/40193024/
40172762,2025,Diagnostic Accuracy of Furosemide Stress Test and Cystatin-C for Predicting Acute Kidney Injury Progression in Children: A Prospective Cohort Study-Correspondence.,Wang X; Hu Z; Wang Y; Sha Y,Indian journal of pediatrics,10.1007/s12098-025-05529-3,Letter,eng,,https://pubmed.ncbi.nlm.nih.gov/40172762/
40172287,2025,Time Course of Kidney Injury Biomarkers in Children With Septic Shock: Nested Cohort Study Within the Pragmatic Pediatric Trial of Balanced Versus Normal Saline Fluid in Sepsis Trial.,"Weiss SL; Fitzgerald JC; Laskin BL; Singh R; Artis AS; Vohra A; Tsemberis E; Kierian E; Lau KC; Campos AB; Hickey C; Hayes KL; Singleton D; Long E; Babl FE; Dalziel SR; Thompson GC; Freedman SB; Eckerle M; Hickey RW; Huang J; Kuppermann N; Balamuth F; Pragmatic Pediatric Trial of Balanced vs. Normal Saline Fluid in Sepsis (PRoMPT BOLUS) Investigators of the Pediatric Emergency Care Applied Research Network (PECARN), Pediatric Emergency Research Canada (PERC), and Pediatric Research in Emergency Departments International Collaborative (PREDICT) Networks",Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies,10.1097/PCC.0000000000003737,Journal Article; Multicenter Study; Pragmatic Clinical Trial,eng,"Severe acute kidney injury (AKI) portends poor outcomes in pediatric sepsis. We evaluated the trajectory and prognostic utility of AKI biomarkers in pediatric septic shock using a subset of participants in the ongoing Pragmatic Pediatric Trial of Balanced vs. Normal Saline Fluid in Sepsis (PRoMPT BOLUS) trial, NCT04102371. We tested whether fluid volume is associated with persistent elevation of urine neutrophil gelatinase-associated lipocalin (Ur-NGAL). Prospective, non-prespecified cohort study within the PRoMPT BOLUS trial. Three children's hospitals in the United States. Four hundred seventy-eight patients aged 2 months to younger than 18 years old with septic shock. None. Ur-NGAL, kidney injury molecule-1, liver fatty acid binding protein, and interleukin-18 and plasma cystatin C were collected at presentation (T1), days 2-3 (T2), and before discharge/death (T3). At presentation, 418 (88%) had no or only stage 1 AKI and 60 (12%) had stage 2/3 AKI defined using Kidney Disease Improving Global Outcomes creatinine thresholds. All biomarkers were higher with stage 2/3 compared with no/stage 1 AKI at T1 and T2, but only cystatin C remained higher at T3. Among patients with no/stage 1 AKI at presentation, those with Ur-NGAL greater than or equal to 150 vs. less than 150 ng/mL had fewer hospital-free days (21 [interquartile range (IQR) 15-24] vs. 23 d [IQR 19-25], p = 0.05). After applying inverse probability treatment weighting to balance covariates, 14% of patients who received greater than 100 mL/kg within 48 hours had persistently elevated Ur-NGAL over time compared with 6% who received 40-100 mL/kg (odds ratio 2.7 [95% CI, 1.1-6.2]). Hospital-free days were no different across fluid volume groups. Although kidney injury biomarkers mirrored serum creatinine in children with septic shock, elevated Ur-NGAL identified a subset with subclinical AKI with fewer hospital-free days despite no/stage 1 AKI by creatinine. Children receiving greater than 100 mL/kg fluid had greater odds of early and persistently elevated Ur-NGAL, suggesting high fluid volumes may perpetuate initial kidney damage.",https://pubmed.ncbi.nlm.nih.gov/40172287/
40141244,2025,Implementation and One-Year Evaluation of Proenkephalin A in Critical Care.,Martin L; Martin C; Peine A; Imöhl M; Kersten A; Kramann R; Saritas T; Marx N; Dreher M; Marx G; Simon TP,International journal of molecular sciences,10.3390/ijms26062602,Journal Article,eng,"Proenkephalin A 119-159 (PENK) is a promising functional kidney biomarker, evaluated in various clinical settings. In critical care medicine, early diagnosis of acute kidney injury (AKI) is crucial; however, to date, the diagnosis and the assessment of kidney function is still based on serum creatinine (sCr) and urine output, both associated with several limitations. Between November 2020 and March 2022, we implemented PENK in our daily practice on our intensive care units (ICU). PENK, sCr, AKI stage, and the start and duration of renal replacement therapy (RRT) were documented. Almost 18,000 PENK measurements from 4169 patients were analyzed, and the glomerular filtration rate (GFR) was estimated with the new PENK-GFR formula. PENK outperformed sCR in the kidney function assessment and sCR trajectory over time. Moreover, PENK predicted the use of RRT and thus showed its usefulness in critical care daily practice.",https://pubmed.ncbi.nlm.nih.gov/40141244/
40138802,2025,Tracking the trajectory of kidney dysfunction in cirrhosis: the acute kidney injury: chronic kidney disease spectrum.,Girish V; Maiwall R,Clinical and molecular hepatology,10.3350/cmh.2024.1060,Journal Article; Review,eng,"Kidney disease in cirrhosis is now viewed as a continuum encompassing acute kidney injury (AKI), acute kidney disease (AKD), and chronic kidney disease (CKD), rather than three different disorders. Contemporary diagnostic criteria for AKI integrate urine output (UO) parameters and acknowledge the intricate relationship and possibility of overlap between functional and structural as well as acute and chronic entities, including hepatorenal syndrome (HRS). AKI demonstrates a propensity for progression to AKD and CKD, particularly in the context of recurrent and severe insults. The diagnostic complexity is further compounded by limitations in serum creatinine measurements, prompting the integration of novel biomarkers and the need to accurately estimate glomerular filtration rate. The diagnosis, phenotyping, and management of AKI should be prompt and early; the initial step should always be volume and UO assessment. A personalized approach is needed and the possibility of co-existing structural or functional kidney disease should be borne in mind. The earlier concept of waiting for 48 hours to diagnose HRS has evolved and early diagnosis and prompt treatment are advised now. Kidney replacement therapy and simultaneous liver and kidney transplantation may be required in resistant cases.",https://pubmed.ncbi.nlm.nih.gov/40138802/
40133168,2025,"The Use of Antipsychotic Medications in Cardiac Surgery: Prevalence, Trajectory, Risk Factors and Outcomes.",Tsigaras ZA; Hui V; Perry L; O'Brien Z; Ou Yang B; Hua ATJ; Kishore K; Seevanayagam S; Bellomo R,"Heart, lung & circulation",10.1016/j.hlc.2025.02.104,Journal Article,eng,"Patients undergoing cardiac surgery are at risk for postoperative delirium and antipsychotic medication (APM) therapy. However, the prevalence, risk factors, and outcomes associated with these therapies remain unclear. We retrospectively studied patients who underwent cardiac surgery between 2012 and 2021 using electronic databases. We obtained data on the use of APMs. We used cardinality matching to identify the patient and surgical characteristics associated with postoperative APM therapy and to study whether APM therapy was associated with outcomes. We studied 3,188 patients. Of these, 13.6% (433/3,188) received APMs in the form of quetiapine (85.0%), haloperidol (41.1%), olanzapine (22.2%), or risperidone (2.1%). APM therapy lasted a median of 3 days at a median daily dose of 2.5 mg olanzapine equivalents, most commonly first administered on day 2 (interquartile range 1.7-3.9), after extubation, and before discharge from the intensive care unit (ICU). Haloperidol use decreased during the study period. Cardinality matching revealed that longer cardiopulmonary bypass time, mechanical ventilation, longer ICU stay, and postoperative acute kidney injury were associated with APM therapy. After matching, there was no difference between APM and control patients for mortality (absolute risk reduction [aRR] 0.94; 95% confidence interval [CI] 0.46-1.89; p=0.85) or hospital readmission rates (aRR 0.95; 95% CI 0.74-1.20; p=0.66). APM therapy, however, was associated with discharge to a destination other than home (aRR 1.39; 95% CI 1.11-1.66; p<0.001). Only a minority (12.4%) of those who received postoperative APM received further prescriptions upon discharge. APM therapy was common in cardiac surgery patients. APM therapy was an average of 3 days. The risk factors included longer cardiopulmonary bypass and ventilation, longer ICU stay, and acute kidney injury. APM therapy was not associated with mortality or hospital readmission. However, this was associated with decreased discharge to the home. Prescriptions upon discharge and at the 6 months following were rare.",https://pubmed.ncbi.nlm.nih.gov/40133168/
40114218,2025,Epidemiology of sepsis-associated acute kidney injury in the ICU with contemporary consensus definitions.,Takeuchi T; Flannery AH; Liu LJ; Ghazi L; Cama-Olivares A; Fushimi K; Chen J; Huen SC; Tolwani AJ; Neyra JA,"Critical care (London, England)",10.1186/s13054-025-05351-5,Journal Article,eng,"The definition of sepsis-associated acute kidney injury (SA-AKI) was updated in 2023. This study aims to describe the epidemiology of SA-AKI using updated consensus definition and to evaluate clinical outcomes. The study was a retrospective cohort analysis conducted at two academic medical centers. Adult patients admitted to intensive care units (ICU) between 2010 and 2022 were included and categorized as SA-AKI, sepsis alone, or AKI alone. SA-AKI was further classified by time of onset (early < 2 days from sepsis diagnosis vs. late 2-7 days following sepsis diagnosis) and presence of septic shock. Clinical outcomes included hospital mortality and major adverse kidney events (MAKE = death, kidney replacement therapy, or reduced kidney function from baseline) at discharge. 187,888 adult ICU patients were included, and SA-AKI was found in nearly half of sepsis patients and about 1 in 6 ICU admissions. 1 in 4 patients with SA-AKI died during hospitalization and 37.7% experienced at least one MAKE by hospital discharge. Compared to sepsis or AKI alone, SA-AKI was associated with higher mortality (adjusted HR 1.59; 95% CI 1.51-1.66) and higher odds of MAKE (adjusted OR 3.35; 95% CI 3.19-3.51). The early clinical phenotype of SA-AKI was most common, with incident AKI decreasing daily from sepsis onset. The presence of septic shock significantly worsened outcomes. Applying updated consensus definitions highlights the high prevalence of SA-AKI in the ICU and its significant associated morbidity and mortality. Outcomes differ based on clinical phenotypes, including the timing of SA-AKI onset and the presence of shock.",https://pubmed.ncbi.nlm.nih.gov/40114218/
40113721,2025,"Epidemiology, trajectories and outcomes of acute kidney injury among hospitalized patients: a large retrospective multicenter cohort study.",Adiyeke E; Ren Y; Fogel S; Rashidi P; Segal M; Shenkman EA; Bihorac A; Ozrazgat-Baslanti T,Journal of nephrology,10.1007/s40620-025-02234-4,Journal Article; Multicenter Study,eng,"Acute kidney injury (AKI) is a clinical syndrome affecting almost one-fifth of hospitalized patients, as well as over half of the patients who are admitted to the intensive care unit (ICU). Stratifying AKI patients into groups based on severity and duration would facilitate targeted efforts for treating AKI. In a retrospective, multicenter longitudinal cohort study of 2,187,254 hospital encounters from 935,679 patients who were admitted between 2012 and 2020 to health centers in the OneFlorida + Network, we analyzed the impact of AKI trajectories (i.e. rapidly reversed AKI, persistent AKI with renal recovery, and persistent AKI without renal recovery) on patients' clinical outcomes, including hospital, 30-day, 1-year, and 3-year mortality, kidney replacement therapy, new chronic kidney disease (CKD) within 90 days or 1-year of discharge, CKD progression within 1-year of discharge, resource utilization, hospital disposition, and major complications during hospitalization. Among all encounters, 14% of patients had AKI, of whom 63%, 21%, and 16% had Stage 1, 2, and 3, respectively, as the worst AKI stage. The fraction of patients with persistent AKI was 31%. Patients with AKI had worse clinical outcomes and increased resource utilization compared to patients without the condition. One-year mortality was 5 times greater for patients with persistent AKI compared to those without AKI. Persistent AKI was associated with prolonged hospitalization, increased ICU admission and greater mortality compared to the other groups. This may emphasize the critical need for devising strategies targeting effective management of AKI and prevention of persisting AKI.",https://pubmed.ncbi.nlm.nih.gov/40113721/
40110623,2025,Crosstalk between macrophages and adjacent cells in AKI to CKD transition.,Lin Y; Yang Q; Zeng R,Renal failure,10.1080/0886022X.2025.2478482,Journal Article; Review,eng,"Acute kidney injury (AKI), triggered by ischemia, sepsis, toxicity, or obstruction, is marked by a rapid impairment of renal function and could lead to the initiation and advancement of chronic kidney disease (CKD). The concept of AKI to CKD transition has gained much interest. Despite a series of studies highlighting the diverse roles of renal macrophages in the immune response following AKI, the intricate mechanisms of macrophage-driven cell-cell communication in AKI to CKD transition remains incompletely understood. In this review, we introduce the dynamic phenotype change of macrophages under the different stages of kidney injury. Importantly, we present novel perspectives on the extensive interaction of renal macrophages with adjacent cells, including tubular epithelial cells, vascular endothelial cells, fibroblasts, and other immune cells via soluble factors, extracellular vesicles, and direct contact, to facilitate the transition from AKI to CKD. Additionally, we summarize the potential therapeutic strategies based on the adverse macrophage-neighboring cell crosstalk.",https://pubmed.ncbi.nlm.nih.gov/40110623/
